claim_id,exact_claim,scientific_question,comparison,independent_actor_seeds,states_per_seed,trials,raw_artifact,generation_code,checkpoint_identity,result,evidence_tier,limitation,destination,status
C01,"The accepted RL plus supervised deployment succeeds near the reference on 12496 of 12505 trials, or 99.9280%.",How close can the accepted RL plus supervised pipeline get to perfect reliability?,Automatic-priority no-shift DAgger actor plus local FastSACN Q-search against the fixed reference evaluation,5,2501,12505,reports/systematic_100k_budget_best_20260722/ablation_no_rl_shift_qsearch/relative/relative_rollouts.csv,scripts/build_final_delivery_figures_20260723.py,See the five run paths and lineage in unique_standardized_evaluations.csv,near 12496/12505; task 11737/12505; strict 1570/12505,A,"The conventional 100k ledger excludes 800k automatic discovery rollout steps per seed. The static initializer oversampled a disclosed near-upright region within 35 degrees, while deployment uses no angle rule or reference query.",poster and report main,regenerated and verified descriptive claim under the final project decision
C02,"The best verified clean pure-RL deployment succeeds near the reference on 11832 of 12505 trials, or 94.6182%.",How close can clean pure RL get to perfect reliability?,SimbaV2 SAC at 100k with reflection and unanimous 41-action Q-search against the fixed reference evaluation,5,2501,12505,reports/pure_rl_plus1pp_20260719/authority_simba100k_symmetric_actor_q41m005_unanimous_relative/relative_rollouts.csv,scripts/build_final_delivery_figures_20260723.py,See the five reward-only run paths in unique_standardized_evaluations.csv,near 11832/12505; task 11567/12505; strict 2303/12505,A,"The deployment contains a global symmetry operation and critic search, so the actor-only result must be shown separately in ablations.",poster and report main,regenerated and verified descriptive claim
C03,"Pure RL solves most grid cells in at least one seed, but its near-reference outcome varies across seeds on 207 cells and all five seeds fail on 39 cells.",Why is pure RL less reliable than mixed training?,Five-seed cell consistency of the best pure-RL deployment and the best mixed deployment,5,2501,12505,reports/current_best_noncheating_20260723/cross_seed_cell_consistency.csv,scripts/build_final_delivery_figures_20260723.py,Same checkpoint families as C01 and C02,pure RL all-five success 90.1639%; any-seed success 98.4406%; 207 variable cells; 39 all-five-failure cells; mixed has 8 variable cells and 0 all-five-failure cells,A,Grid cells are correlated and the result describes these five trained seeds rather than a population of all possible training seeds.,poster and report main,regenerated from source rollouts and verified
C04,The pure-RL winner has 664 fewer near-reference successes and 733 more strict wins than the mixed winner.,How do reliability and strict reference improvement differ?,Paired scorecard totals on the same five-seed evaluation grid,5,2501,12505,reports/current_best_noncheating_20260723/main_scorecard.csv,scripts/build_final_delivery_figures_20260723.py,Same checkpoint families as C01 and C02,near difference pure minus mixed -664; strict difference pure minus mixed +733,A,Strict wins and near-reference reliability are different thresholds on the same return-gap distribution.,poster and report main,regenerated and verified descriptive claim
C05,"Adding reflection to the pure-RL Q-search deployment changes the net count by +93 near-reference successes, +27 task successes, and +1197 strict wins.",Which deployment components improve pure-RL reliability?,"Same five frozen actors and critics with Q-search, with and without reflection",5,2501,12505,reports/current_best_noncheating_20260723/paired_ablation_diagnostics.csv,scripts/build_final_delivery_figures_20260723.py,Same frozen pure-RL checkpoints on both sides,near fixed 126 and broken 33; task fixed 51 and broken 24; strict fixed 1280 and broken 83,A,Reflection is a deterministic global deployment transformation and does not isolate a training effect.,poster and report main,regenerated and verified paired ablation
C06,"Adding unanimous global Q-search to the pure-RL actor changes the net count by +255 near-reference successes, +103 task successes, and +40 strict wins.",Does the critic safely repair actor actions?,Same five frozen pure-RL actors with and without unanimous global Q-search,5,2501,12505,reports/current_best_noncheating_20260723/paired_ablation_diagnostics.csv,scripts/build_final_delivery_figures_20260723.py,Same frozen pure-RL checkpoints on both sides,near fixed 374 and broken 119; task fixed 173 and broken 70; strict fixed 140 and broken 100,A,The intervention combines critic proposal ranking and a unanimity gate.,poster and report main,regenerated and verified paired ablation
C07,"Adding local FastSACN Q-search to the mixed actor changes the net count by +26 near-reference successes, +32 task successes, and -243 strict wins.",What does the inference critic contribute to the mixed method?,Same five frozen mixed actors with and without local Q-search,5,2501,12505,reports/systematic_100k_budget_best_20260722/ablation_no_rl_shift_qsearch/relative/relative_rollouts.csv; reports/current_best_noncheating_20260723/pure_supervised_no_rl_shift_actor_relative/relative_rollouts.csv,scripts/build_final_delivery_figures_20260723.py,Same five no-shift mixed actor checkpoints on both sides,near fixed 26 and broken 0; task fixed 41 and broken 9; strict fixed 89 and broken 332,A,The critic improves reliability while moving many small positive return gaps below the strict threshold.,report main; poster only if visually useful,regenerated directly from selected no-shift rollout pair
C08,"Automatic-priority DAgger adds 10 near-reference successes over uniform-start DAgger, but all 10 additions occur in one actor seed.",Does automatic failure discovery improve the mixed method?,Five matched automatic-priority actors against five uniform-start actors,5,2501,12505,reports/current_best_noncheating_20260723/paired_ablation_diagnostics.csv,scripts/build_final_delivery_figures_20260723.py,See systematic_100k ablation run paths in the ledger,near net +10; task net +2; strict net +111,A,The near-reference improvement is not consistent across actor seeds and costs 800k discovery rollout steps per seed.,report main or annex,pooled and seedwise results regenerated and verified
C09,"Removing the tiny critic shift from the supervised targets changes zero near-reference, task-success, or strict-win classifications.",Does critic-shifting supervised labels help?,Same protocol with and without the tiny critic target shift,5,2501,12505,reports/current_best_noncheating_20260723/paired_ablation_diagnostics.csv,scripts/build_final_delivery_figures_20260723.py,See systematic_100k no-shift ablation lineage in the ledger,near net 0; task net 0; strict net 0,A,"Mean return differs by 0.00183, which has no practical effect on the requested classifications.",report main,regenerated and verified paired ablation
C10,"On the registered hard-state diagnostic, the pure-RL critics contain useful typical action ordering but have twin disagreement 2.4264 times the median local action signal.",Does the critic contain useful but unreliable tail information?,Five pure-RL actor and critic seeds on 99 frozen hard states with 21 action proposals,5,99,495,reports/systematic_joint_followup_20260722/pure_rl_gap_diagnostics_training_aligned_v2/pure_rl_gap_diagnostics.json,scripts/diagnose_pure_rl_gap.py; scripts/plot_pure_rl_gap_diagnostics.py,Five pure-RL finalist checkpoints recorded in the diagnostic JSON,per-state critic Spearman 0.6931; pairwise ordering 0.8437; disagreement-to-signal ratio 2.4264; Q-search harm fraction 0.1899,B,"The 99 states were selected as hard states, so the statistics do not describe the full grid.",report main,provenance checked and retained as targeted mechanism evidence
